Row,z_1,z_2
bnd_pnt_1,-2.84785786778423,1.0772963213315
bnd_pnt_2,-2.78963958239992,1.19847289111473
bnd_pnt_3,-2.62986738777032,0.987774453293789
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-2.62986738777032,0.987774453293789
bnd_pnt_6,-1.8815275709849,1.08326314499291
bnd_pnt_7,-1.0427453989638,1.87238984758763
bnd_pnt_8,-0.880350373832956,2.2520701795555
bnd_pnt_9,-1.03085052389752,3.00378514238832
bnd_pnt_10,-0.952366478873265,3.22126205246591
bnd_pnt_11,-0.619689939793711,3.00747805232931
bnd_pnt_12,-0.145624688435934,3.84740381881934
bnd_pnt_13,0.45853987427796,4.01471544513733
bnd_pnt_14,0.72491022832295,3.89156451212281
bnd_pnt_15,0.139128507225759,3.42404293215419
bnd_pnt_16,0.415798068912414,2.74590098461313
bnd_pnt_17,1.21301160357074,2.74119876475703
bnd_pnt_18,1.87839742729302,3.12415350166639
bnd_pnt_19,2.86366160879522,3.21630488179612
bnd_pnt_20,1.91586793497542,2.99774495396017
bnd_pnt_21,1.98094439261152,2.62072672697193
bnd_pnt_22,2.76458558580417,2.48309050199256
bnd_pnt_23,3.00460646367888,2.24446170929706
bnd_pnt_24,2.54901187672954,2.0303349503737
bnd_pnt_25,2.14916148212851,1.66088965719368
bnd_pnt_26,2.2134632049596,0.755602450822429
bnd_pnt_27,1.48920241458667,0.0478715076462134
bnd_pnt_28,1.50589222878471,-0.316738873860962
bnd_pnt_29,1.07784985770997,-0.926123445006931
bnd_pnt_30,0.630542717001691,-1.15786491723309
bnd_pnt_31,0.827687126733072,-2.18677792261553
bnd_pnt_32,0.360038095737045,-2.58651539551359
bnd_pnt_33,0.131147345443054,-2.61295226896291
bnd_pnt_34,-0.717062935845501,-2.31239600575668
bnd_pnt_35,-0.966923858283251,-2.56006901940794
bnd_pnt_36,-1.11068473626069,-1.9583252863046
bnd_pnt_37,-1.74448568178241,-1.79857786046896
bnd_pnt_38,-1.30206802281645,-1.22828269436772
bnd_pnt_39,-1.36234941282352,-0.891088326450441
bnd_pnt_40,-2.28157368636676,-0.866045649370645
bnd_pnt_41,-2.3135926762325,-0.473297429558006
bnd_pnt_42,-2.14816867496102,-0.321332279751614
bnd_pnt_43,NaN,NaN
bnd_pnt_44,1.20211171399521,3.79270231719975
bnd_pnt_45,0.72491022832295,3.89156451212281
bnd_pnt_46,1.25328301150706,4.18273868058896
